,id,data
73,vlea7PtVXJ0,"{0: 0.004311377245508954, 1: 0.0001996007984033754, 2: 0.0031936127744510916, 3: 0.0011976047904190823, 4: 0.0016766467065865809, 5: 0.0019161676646705754, 6: 0.9502195608782434, 7: 0.028662674650698605}"
74,PgtedwKGhXs,"{1: 0.04735735296920581, 2: 0.018646878315618256, 3: 0.003392651795754739, 0: 0.0004701427582133322, 5: 0.13199575600861502, 6: 0.7144454539101281, 7: 0.03681090731199051, 8: 0.03820227574508088, 9: 0.0028843893544431704, 4: 0.0}"
75,tyrPMVMb-Uw,"{0: 0.0024582539752845507, 1: 8.858572883907716e-05, 2: 8.858572883907695e-05, 3: 0.0011737609071180758, 4: 0.0008637108561809794, 5: 0.6868273021216288, 6: 0.29913185985737695, 7: 0.0008858572883908566, 8: 0.0009080037206006253, 9: 0.0009965894494395888}"
76,aRdUqKtbgsY,"{0: 0.00643478260869581, 1: 0.0004057971014488817, 2: 0.006608695652173841, 3: 0.3771594202898551, 4: 0.5881159420289855, 5: 0.0033043478260869064, 6: 0.002666666666666484}"
77,8mixT5_U0hk,"{0: 0.005734279327437149, 1: 0.0029157352512392165, 2: 0.0026241617261155096, 3: 0.7588686947225194, 4: 0.2105160851394693, 5: 0.001166294100495735, 6: 0.0021382058509087365, 7: 0.002867139663718543}"
78,P-2P3MSZrBM,"{3: 0.023335028744932963, 2: 0.0003945685177478772, 1: 0.0003637428522986659, 0: 0.00024352275704751097, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.6630847243414862, 9: 0.311061790046393, 4: 0.0}"
79,xv4gGyJKyKg,"{0: 0.0033207409212770295, 1: 0.0001827930782354703, 2: 0.0029246892517669613, 3: 0.0017669997562758135, 4: 0.0015537411650012145, 5: 0.9805325371679259, 6: 0.001279551547648028, 7: 0.0013709480867658552}"
80,lsTRQNoj0q4,"{2: 0.9104742207120696, 1: 0.0}"
81,xZlt2tqHd80,"{8: 0.9824420472802387, 7: 0.0, 6: 0.0, 5: 0.0, 4: 0.0, 3: 0.0, 2: 0.0, 1: 0.0}"
82,cCXCY9hRkT0,"{0: 0.009634755189629448, 1: 0.0007007094683367859, 2: 0.008233336252956202, 3: 0.006306385215030139, 4: 0.003240781291057207, 5: 0.8463694490671807, 6: 0.005605675746693489, 7: 0.057370587720066604, 8: 0.04309363230270635}"
83,hNCz-8QIWuI,"{0: 0.01409714212482396, 1: 0.0010252466999871104, 2: 0.009739843649878326, 3: 0.0037165192874534236, 4: 0.007433038574907052, 5: 0.9232346533384598, 6: 0.0035883634499550565, 7: 0.0075611944124055475}"
84,3aAHbLujdtk,"{0: 0.005375562981258075, 1: 0.0003874279626131364, 2: 0.005230277495278237, 3: 0.0028088527289457424, 4: 0.0017434258317593487, 5: 0.9118117100101698, 6: 0.001404426364472966, 7: 0.0033899946728654373, 8: 0.056370768560220885}"
85,BwDfEtpToNw,"{0: 0.00390829465750076, 1: 6.979097602688444e-05, 2: 6.979097602689767e-05, 3: 0.0018494608647101885, 4: 0.001814565376696788, 5: 0.001989042816763748, 6: 0.9805632131765363, 7: 0.0016051924486163438}"
86,dtSJ2CN0DHo,"{0: 0.0018520701092721676, 1: 0.00013469600794717104, 2: 0.0009091980536426843, 3: 0.0006061320357617639, 4: 0.0006903170407286769, 5: 0.00048827302880801414, 6: 0.0006061320357617639, 7: 0.9899651474079437}"
87,6JipQNWuYnA,"{1: 0.0216638905489085, 2: 0.010762012537032685, 3: 0.004307856625173207, 0: 0.00018818263888007586, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.9533179905145779, 9: 0.0016326115427163224, 10: 0.0052055386728037945, 11: 0.002110697165816855}"
88,NwzuibY5kUs,"{1: 0.02737750362119756, 0: 0.0004682583287548246, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.9523687627990609, 7: 2.4973777533521258e-05, 8: 0.015365116627541031, 9: 0.0026035163078768075}"
