,id,data
86,vrCNpDigVxA,"{0: 0.6037661108400768, 1: 8.33948370256398e-06, 2: 0.35213469934076475, 3: 0.023229631853492028, 4: 0.011291660933271969, 5: 0.0021015498930460064}"
87,TvHqvYesr9M,"{0: 0.2930386236755143, 1: 0.00119803480860794, 2: 0.003145272941330811, 3: 0.6735683138782129, 4: 0.013948301518086362, 5: 0.007768237231607463}"
88,vzx6h2sAGTU,"{0: 0.002828815341731174, 1: 0.7806474129657095, 2: 0.00042248540818041276, 3: 0.000165320377114193, 4: 0.004353436597339508, 5: 0.20673313158124304, 6: 0.0012766406899369365, 7: 0.0007393494643160858}"
89,Wf93nfm2U2o,"{2: 0.001103919998268328, 3: 0.002374819492073095, 4: 0.0005782438086166453, 5: 0.5694804773139812, 6: 0.4197586218625623, 7: 0.0, 9: 0.0006369958533426479, 10: 0.0005658749570955912, 8: 0.000633903640462119, 0: 8.967417352878648e-05, 1: 0.0}"
90,4-7O3fOXXKo,"{0: 9.89856126563865e-05, 1: 0.0, 2: 0.8035307737662304, 3: 8.60744457881622e-06, 4: 8.607444578816192e-06, 5: 0.19306928562513642}"
91,At4kjSXFr-U,"{2: 0.6522618281691812, 3: 0.009374949313638931, 4: 0.0020166413460132714, 5: 0.32556052356983345, 0: 0.00010272435810792526, 6: 0.005092965544087558, 1: 0.0}"
92,KluBn073YjY,"{2: 0.2724253962631711, 3: 0.2247483691962583, 4: 0.4819430915906597, 5: 0.0, 8: 0.0022063815342836524, 7: 0.0022211399391953712, 6: 2.213760736735626e-05, 1: 0.0}"
93,2LQFV0ct3X8,"{0: 0.00014659862986665163, 1: 0.4288573764483658, 2: 0.0018212060556511485, 3: 0.0006033097459898165, 4: 0.0006230441769333818, 5: 0.5468128894026102, 6: 0.012988074765301599, 7: 0.0023794085309126745, 8: 0.0005638408841024956}"
94,4_ZJ8YDOX6g,"{0: 0.00020213112577986412, 1: 0.7343484137231965, 2: 0.00032884018970150174, 3: 0.2325654361808679, 4: 0.006667310268261395, 5: 0.004860197666139945, 6: 0.0018614164866592176, 7: 0.014043587917989042}"
95,EToUmoEYGuU,"{0: 0.2831226761311523, 1: 0.0016025641025643241, 2: 0.001192114539572512, 3: 0.6184690231300413, 4: 0.06348688975807582, 5: 0.009186826983437202, 6: 0.01563329953160468}"
96,KdDPhoyypcg,"{0: 0.40997061567305826, 1: 1.823226076987497e-05, 2: 0.002458316493814572, 3: 0.0015406260350601711, 4: 0.5456247132217333, 5: 0.014482492471596053, 6: 0.01968476421128773}"
97,wKaySfPomOI,"{0: 0.2656207592551571, 1: 0.0037872288652976583, 2: 0.0001123066220353536, 3: 0.00545623005387613, 4: 0.6038539889128411, 5: 0.021431847038381278, 6: 0.06050207299306501, 7: 0.011651812036150004, 8: 0.021734450992197823}"
98,RcYjXbSJBN8,"{0: 0.0002639414327852304, 1: 0.6004111929689703, 3: 0.0001620693008330676, 5: 0.3888598193158829, 2: 0.0013752737813547133, 4: 0.0005834494829989306, 6: 0.00046768569668962333, 7: 0.0011252240029264726}"
99,EATOIfG2ISk,"{0: 0.00023136234648636142, 1: 0.620202182360746, 2: 0.002691357908106555, 3: 2.360840270268993e-05, 4: 0.3657413746700726, 5: 0.0032485162118902067, 6: 0.0012984621486479414}"
100,2cOnu-HMmUk,"{0: 0.00017506015838493654, 1: 2.967121328558244e-06, 2: 8.901363985639658e-06, 3: 0.0036792304474122578, 4: 0.5185786301987647, 5: 0.44016058060630037, 6: 0.020814356119835675, 7: 0.012135526233803207}"
101,Ra4522ikFoU,"{0: 0.0001600549522002554, 1: 0.7422881856103931, 2: 0.00025342034098368814, 3: 0.00031010646988806513, 4: 0.24449727739857308, 5: 0.0025508758006916876, 6: 0.0018573043411571621, 7: 0.0037712948112184896}"
102,sqsBfhCbMjw,"{0: 9.462860974350238e-05, 1: 0.3651663976510468, 2: 0.004617876155482956, 3: 0.5997020550630362, 4: 0.011055325292604876, 5: 0.011347322145528}"
103,Cs_mDpIkUOY,"{2: 0.5632477927221698, 3: 3.667335955475655e-05, 4: 4.584169944376091e-05, 5: 5.806615262830616e-05, 6: 0.0019528563962924882, 7: 0.4152830113717984, 8: 0.006124451045649262, 9: 0.0037315143346992943, 10: 0.004960071879784422, 1: 0.0}"
104,4YqZ08GxV1c,"{0: 0.00012108647050658446, 1: 0.5268206532172094, 2: 0.003851140427818956, 3: 0.00012994645615356734, 4: 0.0023892427960934483, 5: 0.44552437825050617, 6: 0.015493161567744829}"
105,CzqONHtFiHQ,"{0: 0.00016573790045401317, 1: 0.3801157991691373, 2: 0.0007064238380006548, 3: 0.0006330644394391539, 4: 0.5914452073218086, 5: 0.01085719098711875, 6: 0.007795115350861696, 7: 0.0018448530230865678}"
106,17pIBFcGB0k,"{0: 0.00021352273174240168, 1: 0.4282310765478986, 2: 0.02122022622171515, 3: 0.007613771092393508, 4: 0.46416751420206825, 5: 0.05393415633235359, 7: 0.009321952946332956, 6: 0.0062062067686702565}"
107,mrNZUaaaEtI,"{0: 0.0001524400132330905, 1: 0.38143086034548573, 2: 0.001008698810968082, 3: 0.5884314246978779, 4: 0.009843732769413437, 5: 0.004959165536880864, 6: 0.0072230619036189846, 7: 0.0007167924026492689}"
