,id,title,number,published,guests,main,likes,dislikes,views,commentCount
161,5ihph3nrgt0,Joe Rogan Experience #1424 - Tom Papa,1424.0,2020-02-06T20:00:00Z,Tom Papa,True,16936,1381,1840340,4412
162,NIxhH85cQMY,Joe Rogan Experience #1423 - Andrew Doyle,1423.0,2020-02-05T20:00:08Z,Andrew Doyle,True,23921,1120,1277656,5461
163,ZIcQwDkcaWk,Joe Rogan Experience #1422 - Lex Fridman,1422.0,2020-02-04T20:00:06Z,Lex Fridman,True,36594,2597,2707438,7394
164,yXZn2DkrXig,Joe Rogan Experience #1421 - Jim Norton,1421.0,2020-02-04T09:06:41Z,Jim Norton,True,21433,1735,1856008,5727
165,DEWgei2u6vM,Joe Rogan Experience #1420 - Mark Normand,1420.0,2020-01-31T20:00:02Z,Mark Normand,True,25643,1630,1642672,7099
166,oGTQ0Wj6yIg,Joe Rogan Experience #1419 - Daryl Davis,1419.0,2020-01-30T20:00:08Z,Daryl Davis,True,111089,3087,3722676,22128
167,nZ7j2KFd0D4,JRE MMA Show #89 with Rafael Lovato Jr,89.0,2020-01-29T20:00:06Z,,False,8665,828,707355,3266
168,QtIa_UQ09Ko,JRE MMA Show #88 with Frankie Edgar,88.0,2020-01-28T20:00:06Z,,False,14502,774,1245286,2863
169,hIQTPo262rQ,JRE MMA Show #87 with Kamaru Usman,87.0,2020-01-28T05:40:24Z,,False,20009,3643,1746763,6891
170,8zkXLwBnORg,JRE MMA Show #86 with Josh Thomson,86.0,2020-01-24T20:00:04Z,,False,16888,1200,1509375,4492
171,vPDRlhgblZg,Joe Rogan Experience #1418 - Don Gavin,1418.0,2020-01-23T20:00:06Z,Don Gavin,True,9375,639,934785,1673
